UV,catégorie,titre,diplome,mineur,C,Cvolume,TD,TDvolume,TP,TPvolume,THE,THEvolume,PRJ,PRJvolume,ENT,ENTvolume,STG,STGvolume,periode1,periode2,antécédent,commentaires,credits,langues,objectif1,objectif2,objectif3,objectif4,objectif5,objectif6,objectif7,programme1,programme2,programme3,programme4,programme5,programme6,programme7,programme8,programme9,programme10,programme11
EE06,CT,L'entreprise dans le contexte européen et international,UV ing.,CIE,C,21 h,TD,21 h,,,THE,60 h,,,,,,,Printemps,,,Mineur : CIE|Maîtrise du français: *** niveau C2,4 crédits,FRA,"Sont abordés les règles, les enjeux du commerce international et le rôle de l'Europe, les flux d'échanges internationaux du XXe siècle à nos jours, la libéralisation et l'institutionnalisation  des échanges, la croissance économique et le développement.",,,,,,,comprendre l'arrière-plan historique de la mondialisation de l'économie ,comprendre les entreprises face à la mondialisation de l'économie ,"comprendre le rôle des institutions : l'Union européenne, l'Organisation Mondiale du Commerce, le Fonds Monétaire International...",,,,,,,,
EG23,TM,Interface Homme-Machine et ergonomie,UV ing.,,C,28 h,TD,14 h,TP,30 h,THE,78 h,PRJ,50 h,,,,,Printemps,,,Maîtrise du français : * niveau B2|Ouverte aux étudants de TC|,6 crédits,FRA,Le développement d'applications doit nécessairement respecter certaines règles ergonomiques. L'étude des Interfaces Homme-Machine (IHM) est devenue essentielle quant à la future réussite du logiciel ou de ,l'application.,,,,,,concevoir et réaliser des interfaces homme-machine,réaliser des maquettes et prototypes logiciels dans le cadre des interfaces homme-machine,utiliser et maîtriser un environnement de développement d'interfaces logicielles,connaître et appliquer les règles d'ergonomie logicielle,savoir évaluer une interface logicielle,,,,,,
EIP01,ME,Entreprenariat-intelligence économique et propriété intellectuelle des entreprises innovantes,UV mast.,,C,20 h,TD,15 h,,,THE,25 h,PRJ,10 h,,,,,Printemps,,,,3 crédits,"ANG, FRA","Permettre aux étudiants de comprendre l'environnement économique et juridique des entreprises innovantes. A travers l'étude théorique du système de protection et de développement des innovations scientifiques (ou dans d'autres domaines) appliquées à l'entreprise, l'étudiant pourra en découvrir les aspects pratiques par la participation et l'observation de la création ",d'une entreprise innovante.,,,,,,gestion d'un projet de création d'entreprise (cours théorique et échange avec des créateurs d'entreprises innovantes),"protéger une innovation : système juridique national et international, stratégies alternatives de protection des idées (mutualisation cours ge25) ","récolter des informations concurrentielles, méthodes d'analyse des marchés et de leurs évolutions (mutualisation cours GE25). Mettre en place dans l'entreprise une culture et des outils assurant une intelligence économique performante et différenciante. ",,,,,,,,
EI01,CS,Ecologie industrielle et territoriale,UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,,6 crédits,FRA,"concevoir, mettre en oeuvre et animer une démarche d'écologie industrielle et territoriale",,,,,,,enjeux et définition de l'écologie industrielle,principes d'éco-restructuration de la société industrielle,principes de mise en oeuvre des démarches d'écologie industrielle et territoriale : typologies des,"projets, méthodologies, outils, facteurs humains",retour d'expérience des démarches en France et à travers le monde,planification et aménagement des territoires,conduite de projets multi-acteurs,,,,
EI04L,ME,"Intelligence économique : stratégie d'entreprise, démarche et outils",UV ing.,,C,14 h,TD,28 h,,,THE,52 h,,,,,,,Printemps,,,Picto UE réalisée entièrement en ligne ou dématérialisée|Examen sur table,6 crédits,FRA,"L'intelligence économique (IE) regroupe l'ensemble des activités liées à la gestion de l'information,",dans le but de développer des stratégies offensives ou défensives.,,,,,,"cerner les enjeux de l'IE en entreprise pour les futurs ingénieurs, face à la mondialisation,","aux opportunités et menaces, à la recherche de compétitivité",initiation aux pratiques et concepts de l'IE permettra notamment de mieux appréhender les,leviers d'actions,"initiation à l'innovation, la veille, la gestion de l'information, l'influence, le lobbying et le",diagnostic,,,,,
EN01,TM,Eléments de base en électronique analogique,UV ing.,,C,14 h,TD,28 h,TP,15 h,THE,93 h,,,,,,,Automne,Printemps,,bases d'électrocinétique nécessaires|Maîtrise du français : *   niveau B2,6 crédits,FRA,"En ingénierie, les cartes électroniques utilisent des composants de base de l'électronique analogique. Leur association permet la réalisation de diverses fonctions, telles que l'amplification, le filtrage, la comparaison, le redressement,...",,,,,,,comprendre le fonctionnement et les propriétés des différents composants analogiques de base,apprendre à effectuer des calculs de circuits linéaires  à l'aide de divers lois et théorèmes,"réaliser des fonctions linéaires et non linéaires, telles que l'amplification, la dérivation, le filtrage, la comparaison,... en associant les composants ",concevoir des chaînes électroniques à plusieurs étages permettant la transformation des signaux mesurés bruités en des signaux exploitables,,,,,,,
EN06,CS,"Composants, systèmes électroniques, capteurs et instrumentation",UV TM pour ing. ou UV ing.,,C,28 h,TD,22 h,TP,30 h,THE,60 h,,,,,,,Printemps,,,UE réalisée à Reims,6 crédits,FRA,connaitre le fonctionnement des composants à semi-conducteurs,mettre en ½uvre des composants dans les circuits électroniques,savoir appréhender l'étude des circuits électroniques et la problématique de la mesure d'une grandeur physique,comprendre le fonctionnement et savoir instrumenter un capteur en vue d'une application déterminée,,,"diode, rappel jonction PN  ","transistors, présentation, caractéristiques, régimes de fonctionnement (linéaire et non linéaire)","classes de fonctionnement du transistor, étude de montages ",amplificateur différentiel et Opérationnel ,la fonction Amplification adaptée aux capteurs,"conditionneurs, ponts de mesure, oscillateurs","généralités, métrologie des capteurs",principes physiques des capteurs ,"capteurs industriels, exemples de mise en ½uvre","pilotage d'instrument, IEEE488, SCPI via LabVIEW",,
EN07,TM,Intégration et technologie de systèmes électroniques,UV ing.,,C,22 h,TD,26 h,TP,30 h,THE,72 h,,,,,,,Printemps,,EN06,UE réalisée à Reims,6 crédits,FRA,"savoir développer une fonction électronique, simuler son fonctionnement, l'intégrer à un système et implanter ",l'ensemble sur un circuit imprimé,savoir dimensionner et réaliser des alimentations et des sources d'énergie électrique rechargeables,savoir analyser les besoins d'un système en termes de conversion d'énergie électrique et comprendre l'architecture d'un système de conversion,,,analyse et synthèse des systèmes électroniques ,"CAO de cartes électroniques et simulation de circuits (simulation Pspice, Psim, développement Eagle)",théorie et pratique de la conversion statique d'énergie à faible puissance,"contraintes d'intégration (calcul des dissipations thermiques, perturbations et routage d'alimentations, CEM des systèmes électroniques...) ",,,,,,,,
EN08,TM,Transformation et utilisation des énergies électriques,UV ing.,,C,28 h,TD,28 h,TP,15 h,THE,79 h,,,,,,,Automne,,,Maîtrise du français : ** niveau C1 |Drapeau anglais,6 crédits,FRA,"Les technologies électriques sont essentielles dans nos sociétés modernes. L'UE EN05 aborde différentes technologies de conversion de l'électricité à partir de différentes sources d'énergie (hydrauliques, éoliens, solaires). Les problématiques du transport et du stockage de l¿énergie sont également abordées.",,,,,,"connaitre les éléments technologiques d'une chaine de conversion des énergies mécaniques ou thermiques (turbine hydraulique, éolienne, solaire) en énergies électriques",connaître le principe de fonctionnement et la mise en ½uvre de différents actionneurs électriques (modes moteurs et génératrices),pouvoir développer une chaine électronique pour assister la conversion d'énergie via des convertisseurs statiques (électronique de puissance),"connaitre les problématiques du transport et du stockage de l'énergie (batteries, hydrogène)",avoir des notions sur la variation de vitesse et la régulation des actionneurs électriques,être sensibilisé aux risques électriques,,,,,,
EP01,CT,Responsabilité sociale de l'entreprise,UV ing. ou UV CS pour mast.,,C,28 h,TD,14 h,,,THE,20 h,PRJ,30 h,,,,,Automne,,,Mineur : EDD|Maîtrise du français : ** niveau C1,4 crédits,FRA,Offrir une formation pratique et concrète aux principes et aux techniques de la Responsabilité Sociale de ,"l'Entreprise, c'est-à-dire à l'intégration des enjeux du développement durable à la stratégie de l'entreprise.",,,,,,"comprendre les notions d¿éthique, de morale et de responsabilité",comprendre les enjeux relatifs au management responsable de l¿entreprise et en maîtriser les méthodes et outils,connaître les principaux référentiels en matière de développement durable,"connaître les instruments normatifs, de reporting et de communication sur la responsabilité sociétale",définir la responsabilité sociétale d'une organisation,élaborer un plan d'actions permettant d'intégrer les enjeux du développement durable à la stratégie de ,l'entreprise,,,,
EV00A,CT,Philosophy of sustainable futures,UV ing. ou UV CS pour mast.,,C,28 h,TD,14 h,,,THE,45 h,PRJ,15 h,,,,,Automne,,,,4 crédits,"ANG, FRA","The inquiry into the challenges of sustainability requires to reflect jointly on nature, technology, and the future, and to think about global environmental change from the point of view of philosophy and the humanities.",,,,,,,situate sustainability in the history of science and ideas,describe the fundamental challenges of sustainability regarding both materiality and culture,understand the idea of the future in the contemporary world,"identify the key issues of global change and discuss their potential consequences, both tangible (biophysics) and intangibles (epistemology, ethics, metaphysics, politics)",analyze and discuss the promises and limitations of technology in the Anthropocene,,,,,,
EV01,CT,Bases scientifiques de l'environnement,UV ing. ou UV CS pour mast.,EDD,C,42 h,,,,,THE,15 h,PRJ,34 h,,,,,Automne,Printemps,,Mineur : EDD|Maîtrise du français : ** niveau C1,4 crédits,FRA,faire le point sur les différentes connaissances scientifiques relatives aux problèmes environnementaux,,,,,,,écologie des milieux naturels,"cycle de l'eau, hydrogéologie",physico-chimie de l'environnement,cycles géochimiques,comprendre la nécessité d'une approche systémique ,"extraire des informations d'articles scientifiques ou non, les synthétiser",mobiliser les connaissances de différentes disciplines pour décrire un problème environnemental,,,,
